Bereich,Komponente,Detail,Status
Rechtliches,Impressum,"TMG-konform: Angaben §5, Haftungsausschluss, Urheberrecht, Streitschlichtung",erledigt
Rechtliches,Datenschutzerklärung,"DSGVO-konform: Verantwortlicher, SSL, GitHub Pages, Kontaktformular, TikTok, Google Fonts, Betroffenenrechte",erledigt
Rechtliches,404-Fehlerseite,"Custom 404-Seite im Design-System",erledigt
,,
SEO & Technik,Schema.org,"LocalBusiness, FAQPage, Service, Article, BreadcrumbList — auf allen relevanten Seiten",erledigt
SEO & Technik,Meta-Tags,"Title (keyword-optimiert), Description (mit CTA), Keywords — jede Seite individuell",erledigt
SEO & Technik,Open Graph + Twitter Cards,"og:title, og:description, og:image, og:type, twitter:card — auf allen Seiten",erledigt
SEO & Technik,Canonical URLs,"Auf allen Unterseiten gesetzt",erledigt
SEO & Technik,sitemap.xml,"27 URLs mit Prioritäten (1.0 Startseite → 0.3 Rechtliches)",erledigt
SEO & Technik,robots.txt,"Allow: / — Disallow: /_archive/",erledigt
SEO & Technik,E-E-A-T Badges,"Geprüft von Ofenbaumeister Bastian Hogger — dezent vor Footer auf allen Seiten",erledigt
SEO & Technik,Interne Verlinkung,"Leistungs-Kacheln → Detailseiten, FAQ → Preisguide/Einsatztausch, Footer 5-spaltig, Cross-Links",erledigt
SEO & Technik,H1/H2/H3 Hierarchie,"Saubere Heading-Struktur auf allen 27 Seiten",erledigt
SEO & Technik,ALT-Texte,"Keyword-optimiert auf allen Bildern",erledigt
SEO & Technik,Favicon,"Favicon-Retina.png auf allen 27 Seiten verlinkt",erledigt
SEO & Technik,Lazy Loading,"loading=lazy auf Bilder unterhalb des Folds",erledigt
,,
Video-Bearbeitung,Hero-Video Desktop,"Video_Hero_ohne_Hogger: FFmpeg Trimming (2s), Cropping (160px), Re-Encoding (CRF 18)",erledigt
Video-Bearbeitung,Hero-Video Mobile,"Video_Hero_mit_Hogger: Cropping oben/unten (100px), Re-Encoding (CRF 18)",erledigt
Video-Bearbeitung,Separate Videos Desktop/Mobile,"CSS media query schaltet zwischen beiden Videos um",erledigt
Video-Bearbeitung,TikTok-Videos,"5 Videos nativ als MP4 eingebunden (autoplay, muted, loop)",erledigt
Video-Bearbeitung,TikTok Profil-Embed,"Offizieller oEmbed-Code von @bastianhogger",erledigt
Video-Bearbeitung,Portrait-Schärfung,"Unsharp-Mask-Filter via FFmpeg auf bastian-hogger.jpg",erledigt
,,
Kontakt-Features,Quick-Contact,"Freitext-Feld + WhatsApp-Button + E-Mail-Button",erledigt
Kontakt-Features,Foto-Upload,"Visualisierung in 48h — WhatsApp/E-Mail mit vorausgefülltem Text",erledigt
Kontakt-Features,Detail-Formular,"Ausklappbar: Name, E-Mail, Interesse-Dropdown, Nachricht",erledigt
Kontakt-Features,Floating Buttons,"3 Buttons rechts fixiert: WhatsApp, E-Mail, Foto — responsive (unten auf Mobile)",erledigt
Kontakt-Features,WhatsApp-Integration,"wa.me/4915221010008 mit vorausgefülltem Text auf allen CTAs",erledigt
,,
Ordnerstruktur,assets/images/brand/,"Logos (logo.png, logo2.png), Favicons (Favicon-Retina.png, favicon_weiß.png)",erledigt
Ordnerstruktur,assets/images/oefen/,"11 Ofen-Produktfotos (Apella, Colona, Juwel, Kala, Sera, Fina)",erledigt
Ordnerstruktur,assets/images/referenzen/,"6 Projektfotos (projekt-1 bis projekt-5, social-media)",erledigt
Ordnerstruktur,assets/images/team/,"7 Teamfotos (Portrait, Messe, Ofenbaumeister 1-3, Über uns)",erledigt
Ordnerstruktur,assets/images/fliesen/,"6 Fliesen-Bilder (Cotto, Stein-Optik, Zubehör)",erledigt
Ordnerstruktur,assets/images/Partner/,"10 Hersteller-Logos (weiß + schwarz Varianten)",erledigt
Ordnerstruktur,assets/videos/,"8+ Videos (Hero Desktop, Hero Mobile, 5 TikTok, Fireplace)",erledigt
Ordnerstruktur,referenzen/,"3 Referenz-Einzelseiten (Unterordner)",erledigt
Ordnerstruktur,_archive/,"Alte HTML-Versionen",erledigt
